round,layer_index,avg_diffs,std_dev,shape
10,1,132332.71875,157734.84291569714,"(32,)"
10,2,89367.6875,94997.7328885529,"(32,)"
10,3,135308.8125,94940.82768507626,"(32,)"
10,4,227531.03125,290421.91453808674,"(32,)"
10,5,228169.5,191354.17387759013,"(32,)"
10,6,158385.665,145972.15560106497,"(5, 5, 32, 16)"
10,7,146945.8125,184350.02906096147,"(16,)"
10,8,161710.75,114757.42757905695,"(16,)"
10,9,345696.3125,264897.34169030434,"(16,)"
10,10,1805679.25,982870.7993099538,"(16,)"
10,11,3159757.4375,1747374.1767201354,"(16,)"
10,12,121580.73671875,98468.79724593867,"(5, 5, 16, 32)"
10,13,214057.3125,225990.12372093243,"(32,)"
10,14,175342.78125,152617.21638091293,"(32,)"
10,15,79144.65625,61443.44346104461,"(32,)"
10,16,1939597.5,989147.1223837862,"(32,)"
10,17,4830096.53125,3279096.1815762776,"(32,)"
10,18,107001.77911349827,120999.31873829124,"(4608, 200)"
10,19,45408.98,87747.53936344654,"(200,)"
10,20,68916.8375,147378.9482668271,"(200, 2)"
10,21,83007.5,0.5,"(2,)"
11,0,166640.35125,183988.95835067215,"(5, 5, 1, 32)"
11,1,152812.125,177756.59206425195,"(32,)"
11,2,123356.90625,137130.43200598276,"(32,)"
11,3,389252.09375,283658.028786464,"(32,)"
11,4,191527.0625,289375.7066678129,"(32,)"
11,5,127159.09375,119994.34156850881,"(32,)"
11,6,212187.3375,206490.716380515,"(5, 5, 32, 16)"
11,7,385054.4375,305811.04207561095,"(16,)"
11,8,195174.1875,137170.98799455498,"(16,)"
11,9,397691.3125,300016.3128424684,"(16,)"
11,10,917312.4375,787337.6450987346,"(16,)"
11,11,2192458.0625,1334536.6995851719,"(16,)"
11,12,170169.16515625,165396.63818014693,"(5, 5, 16, 32)"
11,13,304087.9375,335782.72456837114,"(32,)"
11,14,185287.25,165010.81216790766,"(32,)"
11,15,188346.03125,123503.96065802009,"(32,)"
11,16,1979561.25,966377.9740204528,"(32,)"
11,17,4059388.875,3236832.9278032305,"(32,)"
11,18,130268.13099934896,181119.16675931745,"(4608, 200)"
11,19,77231.375,116561.1709950804,"(200,)"
11,20,87067.955,166534.57502683334,"(200, 2)"
11,21,21548.5,0.5,"(2,)"
