round,layer_index,avg_diffs,std_dev,shape
6,12,203938.359140625,173075.66700890448,"(5, 5, 16, 32)"
6,13,319994.0625,210025.18614575395,"(32,)"
6,14,133299.0,121059.88439172367,"(32,)"
6,15,258127.03125,181423.22997560227,"(32,)"
6,16,2355433.59375,2397573.0685209944,"(32,)"
6,17,4593185.84375,3870774.73070673,"(32,)"
6,18,205144.96029296875,228961.21203700625,"(4608, 200)"
6,19,128274.89,200029.2676068877,"(200,)"
6,20,169042.935,316214.4903964567,"(200, 2)"
6,21,185786.0,0.0,"(2,)"
7,0,343860.00375,363084.65555896703,"(5, 5, 1, 32)"
7,1,399784.78125,514669.63372844417,"(32,)"
7,2,363256.4375,313899.4352959576,"(32,)"
7,3,535030.21875,395333.6687678156,"(32,)"
7,4,281233.28125,524110.68279355566,"(32,)"
7,5,1229409.71875,37853.69406695532,"(32,)"
7,6,373447.110859375,344762.26422738435,"(5, 5, 32, 16)"
7,7,388792.5,237750.5425353957,"(16,)"
7,8,439951.25,285333.3881734882,"(16,)"
7,9,511892.0,405841.6983159813,"(16,)"
7,10,2685333.9375,2397948.2972706966,"(16,)"
7,11,4046982.0625,3392599.708761584,"(16,)"
7,12,326037.89484375,263603.3596963353,"(5, 5, 16, 32)"
7,13,691697.84375,393208.988727298,"(32,)"
7,14,393481.46875,273794.30326021946,"(32,)"
7,15,540175.96875,261800.41288325496,"(32,)"
7,16,2090875.75,1898947.189726356,"(32,)"
7,17,4704472.53125,4045314.852585928,"(32,)"
7,18,243577.37087890625,305285.0415206534,"(4608, 200)"
7,19,163764.175,199713.8402547364,"(200,)"
7,20,236224.6375,426682.0995871119,"(200, 2)"
7,21,114824.0,0.0,"(2,)"
8,0,318725.95625,418184.89644170774,"(5, 5, 1, 32)"
8,1,227241.9375,355570.55644150445,"(32,)"
8,2,424625.59375,432678.6610682386,"(32,)"
8,3,282057.9375,237067.55021116047,"(32,)"
8,4,422611.59375,661332.9768534182,"(32,)"
8,5,677197.59375,44119.96149764538,"(32,)"
