round,layer_index,avg_diffs,std_dev,shape
4,3,835920.40625,668595.1443267002,"(32,)"
4,4,617140.625,926430.756091819,"(32,)"
4,5,4945217.03125,4221879.851769074,"(32,)"
4,6,574296.89859375,521350.76183692063,"(5, 5, 32, 16)"
4,7,1341472.3125,990380.1762917056,"(16,)"
4,8,1229869.5625,1183150.8037849069,"(16,)"
4,9,3237902.9375,2025574.2681251368,"(16,)"
4,10,3378107.6875,2441213.412206308,"(16,)"
4,11,3228620.6875,2200109.614581161,"(16,)"
4,12,811941.039375,635531.6736744231,"(5, 5, 16, 32)"
4,13,3231808.4375,2021416.6524786358,"(32,)"
4,14,1305732.875,1076295.4530099921,"(32,)"
4,15,1694486.9375,1319208.7157482402,"(32,)"
4,16,8476643.71875,5003087.9761007745,"(32,)"
4,17,12665224.3125,10200972.01174184,"(32,)"
4,18,319274.969858941,403297.8114101291,"(4608, 200)"
4,19,629870.445,655165.3608488906,"(200,)"
4,20,605919.3125,710565.3682389256,"(200, 2)"
4,21,10486.5,0.5,"(2,)"
1,0,578678.51125,299166.1046291005,"(5, 5, 1, 32)"
1,1,626880.46875,433492.05008324434,"(32,)"
1,2,652736.46875,490155.96201961476,"(32,)"
1,3,461571.78125,335917.315376933,"(32,)"
1,4,1950166.8125,2014707.9036985026,"(32,)"
1,5,45169256.40625,145982.71616227797,"(32,)"
1,6,660965.996875,563425.3442323157,"(5, 5, 32, 16)"
1,7,596538.4375,445320.4137517121,"(16,)"
1,8,553247.9375,388882.3679669195,"(16,)"
1,9,899009.75,455772.84253185,"(16,)"
1,10,33940786.75,16858667.08890555,"(16,)"
1,11,43652768.0,24229850.777517162,"(16,)"
1,12,504201.82890625,309618.7894382306,"(5, 5, 16, 32)"
1,13,758866.96875,470710.7358342863,"(32,)"
1,14,893296.5625,409050.82976163685,"(32,)"
1,15,367249.25,180396.41844663935,"(32,)"
1,16,24286713.0625,8563871.526558096,"(32,)"
1,17,22022136.90625,12720886.9166281,"(32,)"
1,18,679028.6908528645,544026.7566908342,"(4608, 200)"
1,19,489803.81,257822.70060334855,"(200,)"
1,20,560562.5175,353295.4969580559,"(200, 2)"
1,21,451044.0,0.0,"(2,)"
2,0,289823.2175,280007.7654176714,"(5, 5, 1, 32)"
2,1,297878.03125,359313.4673663691,"(32,)"
2,2,326326.21875,381630.3037145156,"(32,)"
2,3,617968.15625,412859.69477982994,"(32,)"
2,4,975071.3125,971862.6322880731,"(32,)"
2,5,23484394.21875,7226711.527373048,"(32,)"
2,6,397441.793203125,464150.2122609692,"(5, 5, 32, 16)"
2,7,573871.875,456263.77889575495,"(16,)"
2,8,292016.8125,309154.1821877109,"(16,)"
2,9,390137.5625,403041.41481117805,"(16,)"
2,10,14717578.5,10445862.580991613,"(16,)"
2,11,27226819.0,15107298.75596176,"(16,)"
2,12,301406.08,257765.91383542615,"(5, 5, 16, 32)"
2,13,481172.53125,367939.5663016537,"(32,)"
2,14,380569.03125,208122.88714039902,"(32,)"
2,15,520301.4375,185532.6689150622,"(32,)"
2,16,10822836.09375,6383684.87919152,"(32,)"
2,17,16392203.0,8751534.255344348,"(32,)"
2,18,384654.54494249134,352705.2179640974,"(4608, 200)"
2,19,204887.87,191422.35169810525,"(200,)"
2,20,283278.9725,277366.29759767454,"(200, 2)"
2,21,42773.0,0.0,"(2,)"
3,0,133547.4025,172506.70596383492,"(5, 5, 1, 32)"
3,1,91943.6875,133969.30040275026,"(32,)"
3,2,56825.5625,42097.372498127406,"(32,)"
3,3,61955.78125,44080.734247468004,"(32,)"
3,4,631375.53125,583986.6388019926,"(32,)"
3,5,12529400.5625,7321299.238919798,"(32,)"
3,6,245590.5084375,319145.75221464905,"(5, 5, 32, 16)"
3,7,76308.5,63914.486208135946,"(16,)"
3,8,153983.4375,166762.9385561165,"(16,)"
3,9,89467.8125,73137.2517097296,"(16,)"
3,10,8023525.1875,5046960.416697574,"(16,)"
3,11,16429406.25,9639293.531830227,"(16,)"
3,12,144064.4421875,171187.20947181154,"(5, 5, 16, 32)"
3,13,121669.65625,78645.1564106181,"(32,)"
3,14,99166.84375,88683.63197382783,"(32,)"
3,15,124799.0,86201.5824281956,"(32,)"
3,16,6287035.46875,4487880.023167014,"(32,)"
3,17,11330534.125,6783749.778433397,"(32,)"
3,18,271525.5485980903,243961.33612698124,"(4608, 200)"
3,19,42362.95,79352.30165500872,"(200,)"
3,20,74377.1125,192014.73752523484,"(200, 2)"
3,21,311101.5,0.5,"(2,)"
4,0,130529.23,186439.0385212539,"(5, 5, 1, 32)"
4,1,111230.90625,215309.31887452054,"(32,)"
4,2,59701.25,56669.86422583876,"(32,)"
4,3,101535.15625,79331.30122471732,"(32,)"
4,4,321318.5625,350666.35360615025,"(32,)"
4,5,6573524.0625,3984907.218001277,"(32,)"
4,6,242834.477734375,284262.8753350235,"(5, 5, 32, 16)"
4,7,114593.25,115163.88978674044,"(16,)"
4,8,119895.875,129998.13378414082,"(16,)"
4,9,125475.25,140962.07890133964,"(16,)"
4,10,4685724.875,3330054.284984816,"(16,)"
4,11,12417178.1875,8327248.4263437465,"(16,)"
4,12,119388.362578125,110857.26489288358,"(5, 5, 16, 32)"
4,13,127699.28125,107625.58780595416,"(32,)"
4,14,107347.5,79548.49697315154,"(32,)"
4,15,89245.125,51935.25539779673,"(32,)"
4,16,3342244.78125,2207512.562732242,"(32,)"
4,17,9058699.71875,5834898.055175773,"(32,)"
4,18,220358.53242513022,202212.62177370413,"(4608, 200)"
4,19,37792.175,77876.35818330474,"(200,)"
4,20,58063.45,182888.0026569198,"(200, 2)"
4,21,270302.0,0.0,"(2,)"
5,0,85539.68625,130649.18167760488,"(5, 5, 1, 32)"
5,1,74145.125,147492.89606574064,"(32,)"
5,2,62066.28125,108999.05178120655,"(32,)"
5,3,110337.21875,100782.01082774345,"(32,)"
5,4,160446.625,197146.38543506034,"(32,)"
5,5,3852916.46875,2167621.126736606,"(32,)"
5,6,197383.509296875,222656.1061430477,"(5, 5, 32, 16)"
5,7,101221.125,76901.99649381266,"(16,)"
5,8,140045.4375,106066.86142710217,"(16,)"
5,9,120468.8125,104278.60114808955,"(16,)"
5,10,3448048.375,2651768.3138319203,"(16,)"
5,11,9970616.4375,7410407.213213935,"(16,)"
5,12,120091.452890625,107573.01264339447,"(5, 5, 16, 32)"
5,13,129889.8125,107299.44708135659,"(32,)"
5,14,83935.1875,64849.751831848545,"(32,)"
5,15,80050.9375,48011.031253854504,"(32,)"
5,16,2604458.84375,1767149.3491697495,"(32,)"
5,17,6533994.125,3969679.921129668,"(32,)"
5,18,184661.71822157118,172703.19717642225,"(4608, 200)"
5,19,38510.92,77038.39227497936,"(200,)"
5,20,66493.5525,203409.5014021647,"(200, 2)"
5,21,430691.0,0.0,"(2,)"
6,0,230799.20375,265107.235539941,"(5, 5, 1, 32)"
6,1,215722.28125,405316.5994745831,"(32,)"
6,2,189598.25,489059.79869541514,"(32,)"
6,3,257893.3125,220470.9304313776,"(32,)"
6,4,208882.5,212189.74640578183,"(32,)"
6,5,2140771.53125,1294338.6136923123,"(32,)"
6,6,268980.069453125,317567.105507949,"(5, 5, 32, 16)"
6,7,188106.75,180382.94301031486,"(16,)"
6,8,129127.125,110077.26654200391,"(16,)"
6,9,154974.6875,99726.209375168,"(16,)"
6,10,3917672.3125,3843921.269629893,"(16,)"
6,11,11679491.0,12297849.030443983,"(16,)"
6,12,192026.466875,168119.2655378132,"(5, 5, 16, 32)"
6,13,251885.03125,179027.01757808868,"(32,)"
6,14,160233.15625,106355.01912701082,"(32,)"
6,15,154781.6875,103063.60774129898,"(32,)"
6,16,1723557.5,1365622.6858293666,"(32,)"
6,17,4463963.09375,3745767.850673438,"(32,)"
6,18,219476.75821614583,238510.847180119,"(4608, 200)"
6,19,113781.0,157221.1216683369,"(200,)"
6,20,118957.49,240485.98231720264,"(200, 2)"
6,21,82147.0,0.0,"(2,)"
7,0,298164.08625,294427.83714654314,"(5, 5, 1, 32)"
7,1,320160.03125,430759.35340457817,"(32,)"
7,2,249325.1875,168391.51211526323,"(32,)"
7,3,287742.125,222474.9135690289,"(32,)"
7,4,348979.875,452357.1000683358,"(32,)"
7,5,1220153.25,855820.620309135,"(32,)"
7,6,284113.798046875,274978.06621102255,"(5, 5, 32, 16)"
7,7,385834.6875,261643.55923343467,"(16,)"
7,8,218969.125,221202.43139285196,"(16,)"
7,9,274943.0625,185035.06101428074,"(16,)"
7,10,8495315.9375,12533502.43578785,"(16,)"
7,11,19721428.125,34720213.84226856,"(16,)"
7,12,211484.56203125,184834.2038100972,"(5, 5, 16, 32)"
7,13,388138.03125,269763.9537654267,"(32,)"
7,14,268556.5,225619.82658293244,"(32,)"
7,15,233310.9375,158396.40517522357,"(32,)"
7,16,2336428.5625,2345472.00756676,"(32,)"
7,17,4516859.9375,4934140.064705936,"(32,)"
7,18,214903.0120171441,233762.8898911338,"(4608, 200)"
7,19,166568.675,227736.18935050568,"(200,)"
7,20,196638.045,298425.650598257,"(200, 2)"
7,21,36060.5,0.5,"(2,)"
8,0,167669.11875,188134.9768119611,"(5, 5, 1, 32)"
8,1,139156.28125,180776.10981806237,"(32,)"
8,2,80894.9375,123466.63806873537,"(32,)"
8,3,123377.375,107161.86266337654,"(32,)"
8,4,366293.03125,328479.2568932706,"(32,)"
8,5,750496.3125,561743.3279539485,"(32,)"
8,6,205737.271484375,207076.4887130892,"(5, 5, 32, 16)"
8,7,157201.5,91223.69594916115,"(16,)"
8,8,169726.5625,121280.67839003084,"(16,)"
8,9,113389.25,100804.05680669553,"(16,)"
8,10,5792155.4375,5965883.371660436,"(16,)"
8,11,12513043.1875,14143416.555653479,"(16,)"
8,12,162699.015078125,135122.7185913958,"(5, 5, 16, 32)"
8,13,183259.90625,125136.60438830423,"(32,)"
8,14,158399.8125,126452.59104710881,"(32,)"
8,15,126485.34375,79755.94121427936,"(32,)"
8,16,2174482.65625,1701141.2483331705,"(32,)"
8,17,3769567.9375,3992786.4544763793,"(32,)"
8,18,169933.20949652776,182295.3829655581,"(4608, 200)"
